text,label
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat.",not spam
Ok lar... Joking wif u oni...,not spam
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam
U dun say so early hor... U c already then say...,not spam
"Nah I don't think he goes to usf, he lives around here though",not spam
FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like to know what's going on as I've been very busy with my final year project.,spam
Even my brother is not like to speak with me. They treat me like aids patent.,not spam
As per your request 'Melle Melle (Oru Minnaminunginte Nurunguvettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,not spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",not spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days/wk, T&C's apply Reply HL 4 info",spam
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL340. Valid 12hrs only.,spam
Urgently needed: Your account has been compromised. Please visit the following link to secure it immediately: http://bit.ly/malicious-link,spam
Hi this is a reminder that your appointment is tomorrow at 10 AM. See you then!,not spam
"You have won a lottery of $1 Million. To claim your prize, send your bank details to this number.",spam
"Thanks for your subscription to Ringtone Central. Your account will be charged £5/month. To cancel, reply STOP.",spam
"Hey, are we still on for dinner tonight?",not spam
Special offer: Get 50% off on all products for a limited time! Visit our website now.,spam
Your verification code is 123456. Do not share this with anyone.,not spam
You have been selected for a secret shopper role. Earn £1000 a week. Reply YES to accept.,spam
Meeting rescheduled to 3 PM. Please confirm your availability.,not spam
Congratulations! You've won a free iPhone. Click here to claim: http://fakeurl.com/iphone,spam
"Hello, how are you doing today? I wanted to check in.",not spam
Your package has been delayed. Please update your delivery preferences: http://track.delivery.co/your-package,spam
"Let's catch up soon, maybe next week?",not spam
Claim your prize now! Limited time offer. Text WIN to 56789 for details.,spam
Remember to pick up groceries on your way home.,not spam
Urgent: Your account is about to expire. Renew now to avoid service interruption: http://renew.service.net/urgent,spam
Had a great time last night!,not spam
Exclusive deal for you! Get 30% off your next purchase. Use code SAVE30 at checkout.,spam
Can you send me the report by end of day?,not spam
You have a new voicemail. Call 123 to listen.,spam
What's the plan for the weekend?,not spam
Your bank account has been locked. Verify your identity at http://secure.bank/login,spam
